dataset,miner,model,log_fitness,precision,f1_score,objective_fitness,generalization,simplicity,number_of_places,time
2012,GM,3,0.9497118555933136,0.6105494041475087,0.7432678391830886,78.05078894512766,0.928857981771347,0.6592592592592593,38,300.07192611694336
2013-cp,GM,0,0.9430601518395952,0.9700703046534984,0.9563745595044976,95.8357799822341,0.943516299642198,0.8,7,6.306887865066528
2013-i,GM,1,0.9593166889032168,0.9652639204870422,0.9622811157935738,94.57029358858316,0.9475542114998228,0.8181818181818181,8,94.89983010292052
2013-op,GM,0,0.9737892496008516,0.9970243630277106,0.98526983991307,95.64930847703822,0.9550940235716442,0.7599999999999999,8,1.813640832901001
2017,GM,0,0.8802730960088437,0.5565564396762218,0.6819482034434341,69.10674776817606,0.9456273167875792,0.6852791878172589,61,302.90535616874695
2019,GM,2,0.9931352792076492,0.3797814371003707,0.549449706733614,65.21485035919234,0.9261490441544548,0.6057347670250895,63,301.62325501441956
2020-dd,GM,0,0.9767776571581608,0.9979095400988216,0.9872305284477464,93.71902620372984,0.8860707636125785,0.7142857142857143,22,53.50580096244812
2020-id,GM,4,0.9104614095670012,0.9987610345361624,0.9525693374629692,85.81226774304976,0.887549881700792,0.6816326530612246,65,300.0514690876007
2020-pl,GM,4,0.866886834585854,0.4001397398688595,0.5475431683604689,70.31619337527613,0.8429817870670804,0.6437246963562754,127,300.3808560371399
2020-ptc,GM,4,0.9725204713598514,0.9981872116018458,0.985186698083493,92.84736807138776,0.9155137396569312,0.7475728155339807,32,111.59054684638976
2020-rfp,GM,1,0.9489079782157094,0.9980123139574344,0.9728409025052271,91.7328271530379,0.90156046994432,0.7647058823529413,33,72.69612073898315
Nasa,GM,3,0.9360568369386386,0.2424403433577745,0.3851310715783248,69.72500770343638,0.8974599260593763,0.6774193548387096,130,300.10658264160156
RTF,GM,4,0.9446392565366212,0.9996958301469628,0.9713880413108736,94.73563314529768,0.9897052408154866,0.8888888888888888,15,300.05085015296936
Sepsis,GM,4,0.9882289218388804,0.9943181818181818,0.9912642004524586,94.01734964243454,0.9200799464574676,0.7000000000000001,22,107.98792386054993
