Dataset,Discovery Method,F1 Score,Log Fitness,Precision,Generalization,Simplicity,Objective Fitness,Time (s)
2012,GTM-10,0.55,0.95,0.39,0.98,0.67,0.74,10.0
2012,GTM-300,0.96,0.93,1.00,0.98,0.77,0.92,300.07
2012,GTM-60,0.78,0.94,0.67,0.90,0.66,0.84,60.05
2012,IM,0.24,0.97,0.14,0.95,0.61,0.56,9.93
2012,SM,0.64,0.49,0.92,0.98,0.82,0.68,-
2013-cp,GTM-10,0.95,0.91,1.00,0.93,0.85,0.94,2.2
2013-cp,GTM-300,0.95,0.91,1.00,0.93,0.85,0.94,2.02
2013-cp,GTM-60,0.95,0.91,1.00,0.94,0.87,0.93,2.11
2013-cp,IM,0.89,1.00,0.79,0.88,0.66,0.86,0.02
2013-cp,SM,0.76,0.62,0.99,0.92,1.00,0.81,-
2013-i,GTM-10,0.97,0.97,0.98,0.96,0.79,0.95,10.02
2013-i,GTM-300,0.97,0.97,0.98,0.96,0.79,0.95,25.01
2013-i,GTM-60,0.97,0.97,0.98,0.96,0.79,0.95,22.24
2013-i,IM,0.77,1.00,0.63,0.87,0.67,0.79,0.13
2013-i,SM,0.87,0.77,1.00,0.92,0.85,0.84,-
2013-op,GTM-10,0.96,0.95,0.97,0.96,0.82,0.95,1.15
2013-op,GTM-300,0.97,0.97,0.98,0.80,0.76,0.95,1.82
2013-op,GTM-60,0.97,0.97,0.98,0.80,0.76,0.95,1.99
2013-op,IM,0.95,1.00,0.91,0.93,0.69,0.83,0.01
2013-op,SM,0.82,0.70,0.99,0.96,1.00,0.85,-
2017,GTM-10,0.50,0.95,0.34,0.98,0.66,0.77,10.03
2017,GTM-300,0.89,0.99,0.80,0.99,0.65,0.87,106.66
2017,GTM-60,0.92,0.94,0.90,0.95,0.66,0.88,60.02
2017,IM,0.26,1.00,0.15,0.95,0.63,0.63,42.99
2017,SM,0.76,0.71,0.80,0.95,0.73,0.75,-
2019,GTM-10,0.49,0.97,0.32,0.95,0.61,0.66,10.07
2019,GTM-300,0.99,0.99,1.00,0.94,0.54,0.92,271.74
2019,GTM-60,0.55,0.97,0.38,0.94,0.59,0.72,60.02
2019,IM,0.38,1.00,0.23,0.92,0.59,0.56,36.17
2019,SM,0.68,0.51,1.00,0.91,0.73,0.70,-
2020-dd,GTM-10,0.97,0.97,0.97,0.89,0.69,0.92,8.68
2020-dd,GTM-300,0.99,0.98,1.00,0.89,0.64,0.93,16.42
2020-dd,GTM-60,0.98,0.98,0.97,0.92,0.73,0.92,13.29
2020-dd,IM,0.56,1.00,0.39,0.85,0.60,0.75,1.21
2020-dd,SM,0.91,0.92,0.89,0.82,0.67,0.88,-
2020-id,GTM-10,0.54,0.96,0.38,0.90,0.62,0.71,10.03
2020-id,GTM-300,0.99,0.98,1.00,0.92,0.62,0.92,160.02
2020-id,GTM-60,0.91,0.92,0.90,0.91,0.65,0.86,60.01
2020-id,IM,0.38,0.97,0.23,0.88,0.62,0.51,0.49
2020-id,SM,0.85,0.76,0.97,0.90,0.66,0.82,-
2020-pl,GTM-10,0.31,0.97,0.19,0.91,0.60,0.65,10.12
2020-pl,GTM-300,0.98,0.97,1.00,0.87,0.54,0.90,300.09
2020-pl,GTM-60,0.92,0.86,0.99,0.88,0.59,0.80,60.09
2020-pl,IM,0.18,1.00,0.10,0.86,0.59,0.52,4.6
2020-pl,SM,0.81,0.70,0.96,0.86,0.65,0.77,-
2020-ptc,GTM-10,0.99,0.98,1.00,0.93,0.65,0.91,10.01
2020-ptc,GTM-300,0.99,0.99,1.00,0.92,0.54,0.93,48.31
2020-ptc,GTM-60,0.99,0.98,1.00,0.93,0.64,0.92,39.52
2020-ptc,IM,0.27,0.99,0.16,0.89,0.59,0.59,0.29
2020-ptc,SM,0.76,0.64,0.96,0.88,0.70,0.76,-
2020-rfp,GTM-10,0.99,0.98,1.00,0.87,0.60,0.93,10.0
2020-rfp,GTM-300,0.99,0.99,1.00,0.88,0.62,0.94,11.7
2020-rfp,GTM-60,0.99,0.99,1.00,0.89,0.62,0.94,10.17
2020-rfp,IM,0.50,1.00,0.33,0.87,0.60,0.73,0.07
2020-rfp,SM,0.82,0.83,0.82,0.81,0.66,0.81,-
RTF,GTM-10,0.91,0.91,0.92,0.99,0.80,0.90,9.7
RTF,GTM-300,0.96,0.93,1.00,0.99,0.82,0.93,3.67
RTF,GTM-60,0.97,0.95,1.00,0.99,0.80,0.94,9.86
RTF,IM,0.77,1.00,0.63,0.97,0.62,0.63,0.63
RTF,SM,0.88,0.79,0.99,0.99,0.92,0.87,-
Sepsis,GTM-10,0.97,0.97,0.97,0.92,0.65,0.92,10.01
Sepsis,GTM-300,0.99,0.98,0.99,0.95,0.71,0.94,53.12
Sepsis,GTM-60,0.99,0.98,0.99,0.94,0.72,0.94,60.0
Sepsis,IM,0.49,1.00,0.32,0.90,0.62,0.66,0.22
Sepsis,SM,0.81,0.69,0.98,0.92,0.79,0.81,-
Aggregated,GTM-10,0.78,0.96,0.73,0.94,0.69,0.84,8.62
Aggregated,GTM-300,0.97,0.97,0.98,0.92,0.68,0.93,100.05
Aggregated,GTM-60,0.91,0.95,0.90,0.92,0.70,0.89,35.34
Aggregated,IM,0.51,0.99,0.39,0.90,0.62,0.66,7.44
Aggregated,SM,0.80,0.70,0.94,0.91,0.78,0.80,-
